	t	H	expr	parvals	sse	bic	Hp
23000	23000	-99.6478795236883	(((((((_a2_ ** _a2_) * T) + _a4_) * _a1_) / _a2_) + ((_a4_ + T) ** (_a4_ + T))) * _a4_)	{'Hungary': {'_a1_': -0.0033441274680987643, '_a2_': 4.035317991499585e-07, '_a4_': 0.005084606467536267, '_a0_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32123489108196734}	-299.155870125507	49.93005553906533
36000	36000	-120.264209216573	(((((T ** -(_a1_)) * T) * _a1_) * _a2_) * (T + T))	{'Hungary': {'_a1_': 1.8413011818540304, '_a2_': -0.20949899564949412, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3237182568429196}	-303.004696625906	31.238139096380262
44000	44000	-117.325921962098	((((-(T) * _a2_) + _a2_) * -((-(T) ** _a3_))) * T)	{'Hungary': {'_a2_': -0.7775711637490209, '_a3_': -0.8403365330495511, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32377313630078747}	-302.986558617994	34.167357346899365
24000	24000	-124.445129417436	((((T * T) / T) ** (_a0_ * (_a1_ * T))) * _a1_)	{'Hungary': {'_a0_': 134.44952008319095, '_a1_': -0.2074617782522909, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212256348302731}	-303.831782165525	27.470761665326226
72000	72000	-126.540256032098	((((T / _a2_) * _a0_) ** (T / _a2_)) / _a2_)	{'Hungary': {'_a0_': -9.4145211345e-313, '_a2_': -4.655174867740217, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32189340488460594}	-303.609579378547	25.264533657176425
54000	54000	-120.737752012995	((((_a0_ + (T + _a1_)) + T) * _a0_) * (_a2_ + _a2_))	{'Hungary': {'_a0_': -71832133.51299778, '_a1_': 71832133.52292733, '_a2_': 1.4671905593819918e-07, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123497616407815}	-299.155841785545	28.84016887977753
31000	31000	-108.749985658893	((((_a0_ / _a1_) * (exp(_a2_) * (((_a2_ ** (_a2_ + (_a3_ + _a2_))) ** _a4_) * (sin((((_a2_ ** (_a1_ * P)) + (_a3_ ** _a0_)) * (_a4_ + T))) + P)))) / (pow2(_a2_) ** (_a3_ + _a3_))) + (((T * _a3_) + _a2_) * -(_a3_)))	{'Hungary': {'_a0_': -3.661502362540398e-288, '_a1_': 2.178356589238279, '_a2_': 0.01657373611560908, '_a3_': 9.415328612618893, '_a4_': -13.055489549843537}}	{'Hungary': 0.05240678658448509}	-483.815818549384	133.15792361579906
20000	20000	-121.989163267082	((((_a1_ / _a2_) + -(T)) * pow2(T)) + _a0_)	{'Hungary': {'_a0_': -0.23193854305072725, '_a1_': 7064029.534892701, '_a2_': -455.72034103246114, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3274892282562073}	-297.092636177504	26.557154821670096
69000	69000	-119.284698603426	((((_a3_ ** T) / _a0_) * pow3(_a3_)) + (_a0_ ** _a0_))	{'Hungary': {'_a0_': -3.887896603588018e+208, '_a3_': 2.0250974689348504e+69, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3218633062906444}	-303.619584865093	32.52509382911993
100000	100000	-109.243418392197	((((_a3_ / _a2_) * _a3_) + (T / exp((-(exp(_a3_)) * T)))) / _a3_)	{'Hungary': {'_a2_': 0.11359062383657736, '_a3_': -0.023780425291224604, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212408726182601}	-303.826706591013	42.6699349033098
90000	90000	-111.844648944592	((((_a4_ / _a1_) * (T / pow2(-(_a0_)))) ** (T + T)) / _a4_)	{'Hungary': {'_a0_': 2.7558000204874083e-15, '_a1_': 5.570505494857e-08, '_a4_': -4.6690130450720275, '_a2_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32192119227251303}	-298.927514187776	37.619108149296565
75000	75000	-120.520271308885	(((-((_a3_ * _a3_)) ** exp(T)) * (_a2_ * _a3_)) * _a3_)	{'Hungary': {'_a2_': 1.2784289581093408e-139, '_a3_': -3.595682141184292e+34, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32186749365355644}	-303.618192830311	31.288825106270227
29000	29000	-139.336773725214	(((P + cos(_a3_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((P + P) * ((_a2_ + T) * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_)))) + pow2(T))	{'Hungary': {'_a0_': 1.6233365224230558e-12, '_a1_': 31.17328149592252, '_a2_': -56382.34683560324, '_a3_': 971.7857042427382, '_a4_': -0.0003899992593840023}}	{'Hungary': 0.02912471642879294}	-546.672853248724	133.99965289914837
60000	60000	-132.469298728437	(((T * _a4_) + _a2_) / exp(T))	{'Hungary': {'_a2_': -0.20924606688622374, '_a4_': -42.474021315952854, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3212289207680036}	-303.830687627914	19.446045085520065
63000	63000	-110.758163484779	(((T ** _a1_) + T) * log(pow2((_a4_ * exp((_a2_ + _a1_))))))	{'Hungary': {'_a1_': 0.1564462602669336, '_a2_': -0.4492229372682015, '_a4_': 0.9178117614894094, '_a0_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3236055377755571}	-298.369131801913	38.4264024161775
76000	76000	-136.027948131188	(((T ** _a3_) ** T) * _a2_)	{'Hungary': {'_a2_': -0.20746177641103988, '_a3_': -27.89313756462415, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32122563483027355}	-303.831782165524	15.887942951574177
69000	69000	-129.253798923289	(((T + (_a0_ ** _a1_)) + _a3_) * _a3_)	{'Hungary': {'_a0_': 1.0865519729247173, '_a1_': 45.073333431504764, '_a3_': -42.15657069909231, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212349547576324}	-299.155848915808	20.32412553461415
56000	56000	-132.346809504297	(((T + (_a0_ + T)) * _a4_) + _a0_)	{'Hungary': {'_a0_': 0.010424184566042953, '_a4_': -21.07828461007029, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3212349547532071}	-303.828677751744	19.567529371574302
23000	23000	-113.256710423488	(((T + (_a3_ * _a1_)) + ((_a3_ / _a2_) / (pow2(_a3_) * T))) * _a2_)	{'Hungary': {'_a1_': -3.01306526344815e-11, '_a2_': -42.16487690776479, '_a3_': -164729257.65830877, '_a0_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212362876747854}	-299.155404935981	36.32099204450279
72000	72000	-136.371001524419	(((T + T) ** _a3_) * _a2_)	{'Hungary': {'_a2_': -0.6911362637258494, '_a3_': 0.15869882288041692, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32371825684291955}	-303.004696625906	15.13134678853433
41000	41000	-136.592296474749	(((T / _a1_) + _a1_) / _a3_)	{'Hungary': {'_a1_': -0.07046147136115717, '_a3_': 0.3366534062889906, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123495475320696}	-303.828677751744	15.322042401123197
75000	75000	-124.217904637317	(((T / exp(_a3_)) * (_a3_ * (_a1_ * _a1_))) + _a1_)	{'Hungary': {'_a1_': -0.20929974235003923, '_a3_': -5.217372421652848, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123495475320685}	-303.828677751744	27.696434238555288
25000	25000	-152.834893042402	(((_a0_ * (_a1_ + ((pow3(_a2_) ** _a4_) * (sin((((_a2_ ** (_a1_ * P)) + _a2_) * _a4_)) + (_a0_ + _a1_))))) * _a3_) + (((T ** _a3_) / _a2_) / _a4_))	{'Hungary': {'_a0_': -1.9470590619717265e-106, '_a1_': 1.3500359330081375, '_a2_': 0.0023449979498787617, '_a3_': 0.7895240655250726, '_a4_': -13.278093645720379}}	{'Hungary': 0.05183520337452328}	-484.989242357537	89.6597281363657
41000	41000	-113.686513979056	(((_a0_ * (pow2(_a0_) * T)) * (_a2_ * -((_a0_ * (_a0_ / _a0_))))) + _a0_)	{'Hungary': {'_a0_': -0.20929974140584573, '_a2_': 21967.99994356538, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123495475320696}	-303.828677751744	38.22782489681573
61000	61000	-129.446420141316	(((_a0_ * _a0_) ** T) + (_a4_ / _a2_))	{'Hungary': {'_a0_': 2.01316849260219e-10, '_a2_': 3.3794702169824064e+37, '_a4_': -4.0825862236686967e+37, '_a1_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.321112182878178}	-299.196750759972	20.15195523866994
45000	45000	-122.213622635656	(((_a0_ / _a0_) + _a2_) * ((_a2_ + T) / (_a2_ / _a0_)))	{'Hungary': {'_a0_': -0.20826574021445282, '_a2_': 0.004964818889313471, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123495475320696}	-303.828677751744	29.70071624021664
91000	91000	-118.511895307754	(((_a1_ * ((_a0_ * ((_a0_ * T) * _a0_)) / _a3_)) + _a3_) * _a0_)	{'Hungary': {'_a0_': 0.002083997161392112, '_a1_': 224464583230062.5, '_a3_': -100.43186680187644, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123495475387376}	-299.15584891706	31.06602915077573
77000	77000	-136.803443012348	(((_a1_ * _a3_) ** T) + _a3_)	{'Hungary': {'_a1_': -3.354672866763662e-20, '_a3_': -1.2080545845795023, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3211121828561845}	-303.869579601763	15.13134678853428
27000	27000	-130.182565383011	(((_a1_ + _a4_) + (_a1_ * T)) / _a3_)	{'Hungary': {'_a1_': -79659535002.29198, '_a3_': 1889611495.0715084, '_a4_': 79264039792.23726, '_a0_': 1.0, '_a2_': 1.0}}	{'Hungary': 0.32123495475320557}	-299.155848917282	19.39535907563016
93000	93000	-128.86810392313	(((_a2_ * T) / (-(T) ** _a2_)) * _a1_)	{'Hungary': {'_a1_': 0.9170336419284656, '_a2_': 0.8413011834340655, '_a0_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32371825684291955}	-303.004696625906	22.634244389823024
33000	33000	-125.93053432371	(((_a2_ + _a3_) * (T + (_a1_ * _a2_))) + _a1_)	{'Hungary': {'_a1_': 0.0035390115508735164, '_a2_': 1.4266021168615848, '_a3_': -43.58317691953966, '_a0_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123495476061403}	-299.155848914814	23.64739013369737
75000	75000	-128.952391189312	(((_a2_ + pow2(_a2_)) / _a2_) + (T * _a3_))	{'Hungary': {'_a2_': -1.209299743295607, '_a3_': -42.156570219351, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212349547532069}	-303.828677751744	22.9619476865602
73000	73000	-129.354908901273	(((_a3_ * (_a3_ * T)) ** T) * (_a1_ * _a3_))	{'Hungary': {'_a1_': -3.421556442638034e-37, '_a3_': 6.2532790268474774e+35, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3218917657763351}	-303.610124232927	22.450153215190188
85000	85000	-101.480474776811	(((_a3_ * _a0_) * ((T / (_a1_ / _a1_)) * abs(_a3_))) + (_a3_ + tanh(_a0_)))	{'Hungary': {'_a0_': -67.42819298052356, '_a3_': 0.7907002580300846, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32123495475320685}	-299.155848917282	48.09744968182973
25000	25000	-121.46713966706	(((_a3_ * _a0_) / pow2(_a3_)) * ((_a0_ * pow2(_a0_)) ** T))	{'Hungary': {'_a0_': 1.0892996566296807e+23, '_a3_': -5.096533106285319e+23, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3218627642251675}	-303.619765069091	30.34274286748541
46000	46000	-119.713015597956	(((_a3_ * log((cosh(T) * T))) * _a0_) + _a3_)	{'Hungary': {'_a0_': 0.073323235958311, '_a3_': -0.5249396339108683, '_a1_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3253453527740157}	-302.468232628411	31.521100716249503
47000	47000	-132.5878333131	(((_a3_ ** (T * _a2_)) * _a2_) + _a3_)	{'Hungary': {'_a2_': -0.21512406827918507, '_a3_': 4.701976404003e-312, '_a0_': 1.0, '_a1_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3219279956966845}	-303.598081727513	19.21120755065771
62000	62000	-125.418771521466	(((_a3_ / (_a3_ + T)) ** -(_a2_)) * _a4_)	{'Hungary': {'_a2_': 0.15869772259748732, '_a3_': 2.5180735172739387e-303, '_a4_': -7.337906984675508e-49, '_a0_': 1.0, '_a1_': 1.0}}	{'Hungary': 0.32371825684580074}	-298.331867790492	23.74716237377996
53000	53000	-116.558953217707	(((_a4_ * _a1_) * ((pow2(_a1_) * _a0_) ** (_a0_ ** T))) + _a1_)	{'Hungary': {'_a0_': 326604999.8951557, '_a1_': -0.0030113102013706243, '_a4_': 0.023688210331333222, '_a2_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32196394392607525}	-298.913305358652	32.89769946161938
71000	71000	-131.729686894222	(((_a4_ * _a2_) ** (T / _a2_)) / _a2_)	{'Hungary': {'_a2_': -4.646724507072643, '_a4_': -6.387009150537e-312, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3219371558641236}	-303.595037183438	20.067831697497414
74000	74000	-129.864520353145	(((_a4_ + (_a0_ + -(T))) * _a0_) * _a0_)	{'Hungary': {'_a0_': 6.492809186402895, '_a4_': -6.4977740053293225, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32123495475320635}	-303.828677751744	22.049818522727517
74000	74000	-122.667449677163	(((_a4_ + sqrt((_a2_ + T))) ** T) * -(_a2_))	{'Hungary': {'_a2_': 0.2137333951736435, '_a4_': 1.2926462818885013e+69, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3218627642252738}	-303.619765069056	29.14243285736441
79000	79000	-125.033728277972	(((pow2(_a1_) * ((_a1_ * _a1_) ** T)) / _a3_) * _a1_)	{'Hungary': {'_a1_': 3.595691513893829e+34, '_a3_': -2.175078530571476e+104, '_a0_': 1.0, '_a2_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32186276422528}	-303.619765069054	26.776154256555248
71000	71000	-129.7175288201	(((pow2(pow2(_a0_)) ** T) / _a0_) * _a2_)	{'Hungary': {'_a0_': -1.8961019479313866e+17, '_a2_': 4.052604016975507e+16, '_a1_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.32186276422514126}	-303.6197650691	22.09235371445013
42000	42000	-131.064070662526	(((sqrt(T) * _a4_) + _a1_) * _a2_)	{'Hungary': {'_a1_': 32.66960964043842, '_a2_': -0.005178901511983727, '_a4_': 524.363252694873, '_a0_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32140865451137196}	-299.098006983406	18.48493282917747
68000	68000	-105.281378113819	((-((T + (((_a3_ * ((_a3_ * T) * _a2_)) * _a2_) * T))) + (_a3_ * _a1_)) / _a3_)	{'Hungary': {'_a1_': -0.20929931301439825, '_a2_': 0.2076069375328471, '_a3_': 0.02372060438837326, '_a0_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3212349549668312}	-299.155848846126	44.29654630924403
87000	87000	-134.98294599742	((-(T) ** _a0_) + pow2(T))	{'Hungary': {'_a0_': 0.19671803018990672, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0, '_a4_': 1.0}}	{'Hungary': 0.3270747823882022}	-306.573790797319	18.30394940123979
99000	99000	-111.16872219688	((-(T) + ((exp(_a2_) * ((_a4_ * (_a2_ + _a2_)) / T)) * T)) * _a2_)	{'Hungary': {'_a2_': 42.14823122598492, '_a4_': -2.920459632422913e-23, '_a0_': 1.0, '_a1_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3212349579928538}	-303.828676672651	40.74561613944584
60000	60000	-123.931407871027	((-(_a4_) ** exp(T)) / ((_a0_ * _a0_) * _a0_))	{'Hungary': {'_a0_': 1.6962781686431136e+23, '_a4_': 1.0433101646494885e+69, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.3218673697095364}	-303.618234033642	27.877709145793137
55000	55000	-132.759867298915	((-(_a4_) / (T + _a0_)) / _a0_)	{'Hungary': {'_a0_': -0.007717424032385056, '_a4_': 1.2958242648590062e-05, '_a1_': 1.0, '_a2_': 1.0, '_a3_': 1.0}}	{'Hungary': 0.32266249135060315}	-303.354233670295	18.91724953623314
58000	58000	-142.030377824338	((P + cos(_a1_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a2_ * _a3_) * P) * _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': -1.5164219829740613e-22, '_a1_': 29.305690115578816, '_a2_': -44620.39588849704, '_a3_': 858.83668283909, '_a4_': -0.00038500463510314584}}	{'Hungary': 0.030069320755280644}	-543.257602374026	129.59842336267494
53000	53000	-142.030377835168	((P + cos(_a1_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a2_ * _a3_) * P) * _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': -1.5164224391313983e-22, '_a1_': 29.305690122313237, '_a2_': -44620.38614887285, '_a3_': 858.836683236443, '_a4_': -0.0003850045885654519}}	{'Hungary': 0.030069320749193808}	-543.257602395686	129.59842336267494
38000	38000	-141.869963500728	((P + cos(_a1_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a3_ * _a3_) * P) + _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': 6.766332887455411e-18, '_a1_': 29.3056901248237, '_a2_': -44620.38391417303, '_a3_': 858.8366833837979, '_a4_': -0.00039657445132647274}}	{'Hungary': 0.03006932074903576}	-543.257602396248	129.75883769739644
64000	64000	-141.938612777303	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a2_ * _a3_) * P) * _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (sin(_a1_) + T)) + _a4_))))	{'Hungary': {'_a0_': -2.0185333323358551e-22, '_a1_': 21.990538322362983, '_a2_': -44713.25398048535, '_a3_': 778.6358070216882, '_a4_': -0.0003980366653396319}}	{'Hungary': 0.028545694831231785}	-548.821525037931	132.47214974166218
63000	63000	-141.80649888517	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a2_ * _a3_) * P) * _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (sin(_a3_) + T)) + _a0_))))	{'Hungary': {'_a0_': -1.9314011971553536e-22, '_a1_': 22.904434643431113, '_a2_': -44713.25422995571, '_a3_': 788.5391823824604, '_a4_': -0.00039538306027691905}}	{'Hungary': 0.028616273207324433}	-548.557297253665	132.47214974166218
60000	60000	-139.599364965477	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a2_ * _a3_) * P) * _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (tan(_a1_) + T)) + _a1_))))	{'Hungary': {'_a0_': -2.0825884287548948e-22, '_a1_': 21.206054972053597, '_a2_': -44713.25354906083, '_a3_': 771.1635925129127, '_a4_': -0.0003997459313696614}}	{'Hungary': 0.0285680983971322}	-548.737580983831	134.76942552643916
61000	61000	-139.639389020458	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a2_ * _a3_) * P) * _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (tan(_a3_) + T)) + _a4_))))	{'Hungary': {'_a0_': -2.0132671982665547e-22, '_a1_': 22.021327192283934, '_a2_': -44713.2539513244, '_a3_': 779.1155878312704, '_a4_': -0.0003978406322250525}}	{'Hungary': 0.02854673421868112}	-548.817629093794	134.76942552643916
37000	37000	-141.917285499354	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a3_ * _a3_) * P) + _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': 6.57137478410097e-18, '_a1_': 29.366317192987662, '_a2_': -44608.505940374635, '_a3_': 862.393825399484, '_a4_': -0.0003935360339016567}}	{'Hungary': 0.030042735492424547}	-543.3522463935	129.75883769739644
40000	40000	-141.920745132384	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a3_ * _a3_) * P) + _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': 6.566300280764805e-18, '_a1_': 29.368419963160513, '_a2_': -44621.072313059914, '_a3_': 862.5173298619048, '_a4_': -0.0003935450469426901}}	{'Hungary': 0.030040792810564338}	-543.359165659561	129.75883769739644
44000	44000	-141.920745132384	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((((_a3_ * _a3_) * P) + _a3_) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': 6.566300280764805e-18, '_a1_': 29.368419963160513, '_a2_': -44621.072313059914, '_a3_': 862.5173298619048, '_a4_': -0.0003935450469426901}}	{'Hungary': 0.030040792810564338}	-543.359165659561	129.75883769739644
30000	30000	-148.212298546801	((P + cos(_a2_)) + (((T ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((P + P) * (_a2_ * (_a4_ + _a2_))) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': 1.6201622993753649e-12, '_a1_': 31.18055424405361, '_a2_': -56381.12971638984, '_a3_': 972.2391914796459, '_a4_': -0.00038973134821450615}}	{'Hungary': 0.029123245811283442}	-546.678256221378	125.1268295638884
24000	24000	-147.068817471209	((P + cos(_a2_)) + (((sin(T) ** (_a3_ * (P / _a1_))) ** (P + ((_a2_ / _a3_) / _a3_))) * (-(log(((T + _a4_) + (((P + P) * (_a2_ * _a2_)) * _a0_)))) * ((_a1_ * (-(_a1_) + T)) + _a3_))))	{'Hungary': {'_a0_': 1.620164463452855e-12, '_a1_': 31.180549471245968, '_a2_': -56381.12971642637, '_a3_': 972.2388938398232, '_a4_': -0.0003897315260505864}}	{'Hungary': 0.029123245642494997}	-546.678256841513	126.27031094954737
